	Valence	(SD)		Arousal	(SD)		Internal norms	(SD)		External norms	(SD)
H097.jpg	25.612	(19.27)		57.728	(18.04)		42.9	(31.03)		44.088	(29.35)
H098.jpg	24.505	(24.77)		53.024	(24.27)		12.859	(13.34)		25.069	(29.15)
H099.jpg	10.942	(11.60)		68.792	(15.67)		10.493	(18.32)		18.319	(22.85)
H100.jpg	5.095	(6.22)		60.461	(25.08)		4.475	(6.56)		20.302	(29.75)
H101.jpg	22.891	(21.09)		55.387	(27.61)		17.183	(23.83)		22.72	(24.21)
H102.jpg	24.7	(24.30)		52.723	(22.43)		24.583	(27.88)		39.015	(34.43)
H103.jpg	54.35	(33.52)		32.31	(24.87)		63.274	(34.82)		64.297	(36.83)
H104.jpg	13.382	(11.93)		73.529	(12.49)		23.352	(19.71)		34.058	(31.23)
H105.jpg	5.232	(7.32)		76.05	(19.85)		10.446	(12.99)		20.662	(22.65)
H106.jpg	35.158	(21.29)		39.157	(24.84)		38.193	(31.61)		40.337	(35.25)
H107.jpg	20.4	(18.41)		45.939	(23.18)		13.977	(13.82)		38.111	(35.63)
H108.jpg	35.272	(21.33)		57.281	(24.62)		31.84	(24.14)		33.496	(26.52)
H109.jpg	51.065	(28.60)		52.625	(29.07)		40.501	(34.08)		34.297	(35.72)
H110.jpg	42.523	(30.06)		45.154	(28.95)		39.561	(39.92)		48.678	(41.08)
H112.jpg	17.421	(30.85)		79.824	(25.66)		22.414	(40.96)		28.539	(33.22)
H122.jpg	3.675	(10.88)		83.936	(21.25)		6.989	(15.42)		12.261	(25.15)
H123.jpg	9.926	(9.25)		77.079	(18.03)		20.251	(28.44)		18.992	(23.21)
H124.jpg	9.987	(16.19)		70.588	(25.15)		23.747	(26.32)		30.52	(25.86)
H125.jpg	34.254	(18.49)		61.699	(30.42)		35.083	(24.80)		32.921	(28.81)
H126.jpg	21.032	(16.92)		56.735	(21.49)		41.188	(24.87)		55.618	(28.29)
