	Valence	(SD)		Arousal	(SD)		Internal norms	(SD)		External norms	(SD)
A085.jpg	18.306	(14.23)		51.204	(29.18)		21.906	(18.72)		41.956	(35.41)
A086.jpg	28.049	(13.33)		55.313	(18.77)		27.664	(11.12)		51.603	(30.01)
A087.jpg	16.036	(12.40)		63.062	(19.61)		14.837	(10.80)		38.043	(30.35)
A088.jpg	29.996	(16.22)		59.618	(14.56)		33.439	(19.21)		48.405	(29.40)
A089.jpg	3.07	(5.63)		83.622	(19.05)		10.172	(14.20)		22.248	(33.87)
A090.jpg	40.316	(17.45)		44.198	(22.68)		34.663	(11.75)		59.121	(26.67)
A091.jpg	10.828	(10.14)		75.485	(16.24)		19.081	(13.27)		35.764	(25.84)
A092.jpg	23.414	(25.86)		54.615	(31.97)		17.264	(19.55)		33.172	(25.94)
A093.jpg	9.178	(13.40)		57.255	(34.71)		9.716	(15.21)		22.308	(32.84)
A094.jpg	43.176	(19.57)		36.831	(25.30)		66.265	(28.34)		69.856	(31.26)
A095.jpg	6.366	(8.16)		74.934	(15.68)		19.205	(26.08)		29.149	(32.55)
A097.jpg	8.238	(17.70)		74.02	(25.61)		23.351	(32.51)		29.943	(36.34)
A098.jpg	17.543	(13.70)		58.951	(34.49)		44.986	(29.58)		48.292	(30.64)
A099.jpg	10.28	(11.56)		67.766	(27.65)		21.47	(26.17)		26.501	(36.10)
A100.jpg	1.723	(5.57)		82.476	(16.36)		17.361	(29.26)		19.711	(33.28)
A101.jpg	13.144	(15.07)		69.883	(18.26)		20.454	(18.27)		38.163	(33.13)
A102.jpg	44.106	(29.26)		40.174	(34.48)		53.137	(34.15)		56.94	(34.64)
A103.jpg	11.693	(12.11)		56.407	(25.87)		22.987	(21.93)		31.626	(29.28)
A104.jpg	10.215	(10.63)		63.457	(22.04)		24.067	(18.77)		30.557	(26.79)
A105.jpg	30.428	(16.35)		43.906	(37.34)		38.424	(34.24)		42.866	(37.12)
A106.jpg	12.73	(19.52)		70.549	(21.49)		15.306	(23.04)		22.335	(32.44)
A107.jpg	25.357	(23.94)		50.77	(29.17)		32.668	(21.79)		60.781	(33.39)
A108.jpg	44.751	(12.65)		46.579	(22.18)		55.166	(24.18)		77.061	(21.64)
A109.jpg	39.678	(22.78)		50.127	(23.89)		56.853	(29.69)		68.049	(29.47)
A110.jpg	17.207	(15.94)		53.442	(24.73)		18.051	(13.28)		27.649	(28.16)
A111.jpg	26.455	(27.18)		55.001	(32.30)		23.27	(21.71)		30.435	(32.69)
A112.jpg	27.575	(23.19)		51.536	(35.93)		29.962	(41.21)		38.902	(39.74)
A113.jpg	10.053	(14.15)		67.334	(22.37)		12.492	(16.51)		23.16	(31.61)
A114.jpg	23.414	(14.74)		54.116	(26.15)		28.995	(21.41)		51.112	(33.94)
A115.jpg	16.12	(17.10)		74.747	(16.40)		24.222	(30.56)		26.536	(32.21)
A116.jpg	10.928	(11.16)		72.923	(23.31)		14.828	(13.79)		23.262	(25.94)
A117.jpg	11.872	(14.65)		62.752	(22.23)		22.271	(28.73)		47.81	(36.85)
A118.jpg	25.933	(13.16)		62.276	(19.65)		26.73	(13.29)		44.099	(24.80)
A119.jpg	18.398	(24.10)		67.636	(24.91)		17.008	(24.91)		23.908	(35.68)
A120.jpg	12.011	(13.00)		71.41	(12.34)		21.094	(16.12)		32.849	(29.73)
A121.jpg	14.531	(13.60)		61.043	(21.53)		16.392	(14.33)		38.539	(30.59)
A122.jpg	33.782	(24.11)		43.149	(27.91)		40.534	(33.75)		54.756	(39.02)
A123.jpg	22.219	(22.01)		61.983	(24.43)		27.874	(28.33)		45.82	(37.53)
A124.jpg	47.95	(26.57)		48.518	(26.75)		58.728	(25.90)		71.191	(27.20)
A125.jpg	10.435	(13.85)		73.231	(17.88)		11.102	(15.16)		25.56	(27.44)
A127.jpg	13.462	(14.59)		58.438	(20.27)		19.802	(15.02)		33.52	(28.98)
A128.jpg	14.139	(15.91)		76.389	(15.94)		15.029	(16.61)		21.021	(24.25)
A129.jpg	23.941	(20.17)		44.639	(33.50)		31.249	(28.02)		37.024	(28.01)
A130.jpg	33.688	(22.50)		48.936	(29.87)		39.246	(33.04)		42.938	(28.12)
A131.jpg	13.615	(14.62)		62.057	(24.89)		17.352	(21.35)		32.603	(37.00)
											
											
											
											
											
